Jour	Foret	Essence	SommeBois
j08	Lac_Holmes	SPF	0.000
j09	Lac_Holmes	SPF	0.000
j10	Lac_Holmes	SPF	0.000
j11	Lac_Holmes	SPF	0.000
j12	Lac_Holmes	SPF	0.000
j13	Lac_Holmes	SPF	0.000
j14	Lac_Holmes	SPF	0.000
j15	Lac_Holmes	SPF	0.000
j16	Lac_Holmes	SPF	0.000
j17	Lac_Holmes	SPF	0.000
j18	Lac_Holmes	SPF	0.000
j19	Lac_Holmes	SPF	0.000
j20	Lac_Holmes	SPF	0.000
j21	Lac_Holmes	SPF	0.000
j22	Lac_Holmes	SPF	0.000
j23	Lac_Holmes	SPF	0.000
j24	Lac_Holmes	SPF	0.000
j25	Lac_Holmes	SPF	0.000
j26	Lac_Holmes	SPF	0.000
j27	Lac_Holmes	SPF	0.000
j28	Lac_Holmes	SPF	0.000
j29	Lac_Holmes	SPF	0.000
j30	Lac_Holmes	SPF	0.000
j31	Lac_Holmes	SPF	0.000
j32	Lac_Holmes	SPF	0.000
j33	Lac_Holmes	SPF	0.000
j34	Lac_Holmes	SPF	0.000
j35	Lac_Holmes	SPF	0.000
j36	Lac_Holmes	SPF	0.000
j37	Lac_Holmes	SPF	0.000
j38	Lac_Holmes	SPF	0.000
j39	Lac_Holmes	SPF	0.000
j40	Lac_Holmes	SPF	0.000
j41	Lac_Holmes	SPF	0.000
j42	Lac_Holmes	SPF	0.000
j43	Lac_Holmes	SPF	0.000
j44	Lac_Holmes	SPF	0.000
j45	Lac_Holmes	SPF	0.000
j46	Lac_Holmes	SPF	0.000
j47	Lac_Holmes	SPF	0.000
j48	Lac_Holmes	SPF	0.000
j49	Lac_Holmes	SPF	0.000
j50	Lac_Holmes	SPF	0.000
j51	Lac_Holmes	SPF	0.000
j52	Lac_Holmes	SPF	0.000
j53	Lac_Holmes	SPF	0.000
j54	Lac_Holmes	SPF	0.000
j55	Lac_Holmes	SPF	0.000
j56	Lac_Holmes	SPF	0.000
j57	Lac_Holmes	SPF	0.000
j58	Lac_Holmes	SPF	0.000
j59	Lac_Holmes	SPF	0.000
j60	Lac_Holmes	SPF	0.000
j61	Lac_Holmes	SPF	0.000
j62	Lac_Holmes	SPF	0.000
j63	Lac_Holmes	SPF	0.000
j64	Lac_Holmes	SPF	0.000
j65	Lac_Holmes	SPF	0.000
j66	Lac_Holmes	SPF	0.000
j67	Lac_Holmes	SPF	0.000
j68	Lac_Holmes	SPF	0.000
j69	Lac_Holmes	SPF	0.000
j70	Lac_Holmes	SPF	0.000
j71	Lac_Holmes	SPF	0.000
j72	Lac_Holmes	SPF	0.000
j73	Lac_Holmes	SPF	0.000
j74	Lac_Holmes	SPF	0.000
j75	Lac_Holmes	SPF	0.000
j76	Lac_Holmes	SPF	0.000
j77	Lac_Holmes	SPF	0.000
j78	Lac_Holmes	SPF	0.000
j79	Lac_Holmes	SPF	0.000
j80	Lac_Holmes	SPF	0.000
j81	Lac_Holmes	SPF	0.000
j82	Lac_Holmes	SPF	0.000
j83	Lac_Holmes	SPF	0.000
j01	Lac_Holmes	Fir	0.000
j02	Lac_Holmes	Fir	0.000
j03	Lac_Holmes	Fir	0.000
j04	Lac_Holmes	Fir	0.000
j05	Lac_Holmes	Fir	0.000
j06	Lac_Holmes	Fir	0.000
j07	Lac_Holmes	Fir	0.000
j08	Lac_Holmes	Fir	0.000
j09	Lac_Holmes	Fir	0.000
j10	Lac_Holmes	Fir	0.000
j11	Lac_Holmes	Fir	0.000
j12	Lac_Holmes	Fir	0.000
j13	Lac_Holmes	Fir	0.000
j14	Lac_Holmes	Fir	0.000
j15	Lac_Holmes	Fir	0.000
j16	Lac_Holmes	Fir	0.000
j17	Lac_Holmes	Fir	0.000
j18	Lac_Holmes	Fir	0.000
j19	Lac_Holmes	Fir	0.000
j20	Lac_Holmes	Fir	0.000
j21	Lac_Holmes	Fir	0.000
j22	Lac_Holmes	Fir	0.000
j23	Lac_Holmes	Fir	0.000
j24	Lac_Holmes	Fir	0.000
j25	Lac_Holmes	Fir	0.000
j26	Lac_Holmes	Fir	0.000
j27	Lac_Holmes	Fir	0.000
j28	Lac_Holmes	Fir	-0.000
j29	Lac_Holmes	Fir	0.000
j30	Lac_Holmes	Fir	0.000
j31	Lac_Holmes	Fir	0.000
j32	Lac_Holmes	Fir	0.000
j33	Lac_Holmes	Fir	0.000
j34	Lac_Holmes	Fir	0.000
j35	Lac_Holmes	Fir	0.000
j36	Lac_Holmes	Fir	0.000
j37	Lac_Holmes	Fir	0.000
j38	Lac_Holmes	Fir	0.000
j39	Lac_Holmes	Fir	0.000
j40	Lac_Holmes	Fir	0.000
j41	Lac_Holmes	Fir	0.000
j42	Lac_Holmes	Fir	0.000
j43	Lac_Holmes	Fir	0.000
j44	Lac_Holmes	Fir	0.000
j45	Lac_Holmes	Fir	0.000
j46	Lac_Holmes	Fir	0.000
j47	Lac_Holmes	Fir	0.000
j48	Lac_Holmes	Fir	0.000
j49	Lac_Holmes	Fir	0.000
j50	Lac_Holmes	Fir	0.000
j51	Lac_Holmes	Fir	0.000
j52	Lac_Holmes	Fir	0.000
j53	Lac_Holmes	Fir	0.000
j54	Lac_Holmes	Fir	0.000
j55	Lac_Holmes	Fir	0.000
j56	Lac_Holmes	Fir	0.000
j57	Lac_Holmes	Fir	0.000
j58	Lac_Holmes	Fir	0.000
j59	Lac_Holmes	Fir	0.000
j60	Lac_Holmes	Fir	0.000
j61	Lac_Holmes	Fir	0.000
j62	Lac_Holmes	Fir	0.000
j63	Lac_Holmes	Fir	0.000
j64	Lac_Holmes	Fir	0.000
j65	Lac_Holmes	Fir	0.000
j66	Lac_Holmes	Fir	0.000
j67	Lac_Holmes	Fir	0.000
j68	Lac_Holmes	Fir	0.000
j69	Lac_Holmes	Fir	0.000
j70	Lac_Holmes	Fir	0.000
j71	Lac_Holmes	Fir	0.000
j72	Lac_Holmes	Fir	0.000
j73	Lac_Holmes	Fir	0.000
j74	Lac_Holmes	Fir	0.000
j75	Lac_Holmes	Fir	0.000
j76	Lac_Holmes	Fir	0.000
j77	Lac_Holmes	Fir	0.000
j78	Lac_Holmes	Fir	0.000
j79	Lac_Holmes	Fir	0.000
j80	Lac_Holmes	Fir	0.000
j81	Lac_Holmes	Fir	0.000
j82	Lac_Holmes	Fir	0.000
j83	Lac_Holmes	Fir	0.000
j01	Lac_Wilson	SPF	0.000
j02	Lac_Wilson	SPF	0.000
j03	Lac_Wilson	SPF	0.000
